Team,points,c,pos,wins,poles,FastLap,LapsLed,year
Renault,206.0,#FFF500,1st,8,7,5,520,2006
Ferrari,201.0,#A6051A,2nd,9,7,9,520,2006
McLaren,110.0,#FF8000,3rd,0,3,3,60,2006
Honda,86.0,#cccfc8,4th,1,1,0,25,2006
BMW Sauber,36.0,#ffffff,5th,0,0,0,5,2006
Toyota,35.0,#8e0018,6th,0,0,0,4,2006
Red Bull,16.0,#121F45,7th,0,0,0,0,2006
Williams,11.0,#005AFF,8th,0,0,1,3,2006
Toro Rosso,1.0,#469BFF,9th,0,0,0,0,2006
MF1,0.0,,10th,0,0,0,0,2006
Spyker MF1,0.0,,11th,0,0,0,0,2006
Super Aguri,0.0,#b61211,12th,0,0,0,0,2006
