,year,Team,c,LapsLed,pct,angle
133,2016,Mercedes,#00A19C,1055,5.07,0.15932222513758745
111,2014,Mercedes,#00A19C,980,4.71,0.14799600060174
122,2015,Mercedes,#00A19C,936,4.5,0.14135128220737617
174,2020,Mercedes,#00A19C,860,4.13,0.12987404134438407
76,2011,Red Bull,#121F45,798,3.84,0.12051102906141685
0,2004,Ferrari,#A6051A,785,3.77,0.11854781680853664
100,2013,Red Bull,#121F45,753,3.62,0.11371529433990837
144,2017,Mercedes,#00A19C,714,3.43,0.1078256575812677
64,2010,Red Bull,#121F45,699,3.36,0.10556041267409823
184,2021,Red Bull,#121F45,698,3.36,0.10540939634695361
164,2019,Mercedes,#00A19C,696,3.35,0.10510736369266432
11,2005,McLaren,#FF8000,592,2.85,0.08940166566962253
154,2018,Mercedes,#00A19C,542,2.61,0.0818508493123909
43,2008,Ferrari,#A6051A,542,2.61,0.0818508493123909
32,2007,McLaren,#FF8000,524,2.52,0.07913255542378751
21,2006,Ferrari,#A6051A,520,2.5,0.07852849011520899
20,2006,Renault,#FFF500,520,2.5,0.07852849011520899
33,2007,Ferrari,#A6051A,512,2.46,0.07732035949805192
10,2005,Renault,#FFF500,452,2.17,0.06825937986937396
155,2018,Ferrari,#A6051A,437,2.1,0.06599413496220448
88,2012,Red Bull,#121F45,434,2.09,0.06554108598077057
165,2019,Ferrari,#A6051A,406,1.95,0.06131262882072086
54,2009,Brawn,#cccfc8,405,1.95,0.061161612493576226
183,2021,Mercedes,#00A19C,376,1.81,0.056782139006381877
90,2012,McLaren,#FF8000,365,1.75,0.055120959407790916
145,2017,Ferrari,#A6051A,326,1.57,0.04923132264915025
44,2008,McLaren,#FF8000,324,1.56,0.04892928999486098
55,2009,Red Bull,#121F45,302,1.45,0.045606930797679066
156,2018,Red Bull,#121F45,285,1.37,0.043039653236220304
65,2010,McLaren,#FF8000,245,1.18,0.036999000150435
77,2011,McLaren,#FF8000,238,1.14,0.03594188586042257
89,2012,Ferrari,#A6051A,217,1.04,0.03277054299038529
123,2015,Ferrari,#A6051A,186,0.89,0.028089036848901676
56,2009,McLaren,#FF8000,184,0.88,0.02778700419461241
101,2013,Mercedes,#00A19C,170,0.82,0.025672775614587553
66,2010,Ferrari,#A6051A,168,0.81,0.025370742960298287
146,2017,Red Bull,#121F45,156,0.75,0.023558547034562696
166,2019,Red Bull,#121F45,156,0.75,0.023558547034562696
134,2016,Red Bull,#121F45,116,0.56,0.017517893948777386
12,2005,Ferrari,#A6051A,108,0.52,0.016309763331620326
102,2013,Ferrari,#A6051A,99,0.48,0.014950616387318634
135,2016,Ferrari,#A6051A,97,0.47,0.014648583733029368
45,2008,BMW Sauber,#ffffff,89,0.43,0.013440453115872306
7,2004,Toyota,#8e0018,89,0.43,0.013440453115872306
175,2020,Red Bull,#121F45,88,0.42,0.013289436788727673
3,2004,Williams,#005AFF,82,0.39,0.012383338825859878
186,2021,McLaren,#FF8000,79,0.38,0.01193028984442598
78,2011,Ferrari,#A6051A,77,0.37,0.011628257190136713
103,2013,Lotus F1,#FFB800,77,0.37,0.011628257190136713
46,2008,Renault,#FFF500,75,0.36,0.011326224535847449
