year,Team,points,c,pos,wins,poles,FastLap,LapsLed
2004,Ferrari,262.0,#A6051A,1st,15,12,14,785
2004,BAR,119.0,#d5d5d3,2nd,0,1,0,54
2004,Renault,105.0,#FFF500,3rd,0,3,0,60
2004,Williams,88.0,#005AFF,4th,1,1,2,82
2004,McLaren,69.0,#FF8000,5th,1,1,2,50
2004,Sauber,34.0,#9B0000,6th,0,0,0,2
2004,Jaguar,10.0,#08623e,7th,0,0,0,0
2004,Toyota,9.0,#8e0018,8th,1,0,0,89
2004,Jordan,5.0,#ead136,9th,0,0,0,0
2004,Minardi,1.0,black,10th,0,0,0,0
2005,Renault,191.0,#FFF500,1st,8,7,3,452
2005,McLaren,182.0,#FF8000,2nd,10,7,12,592
2005,Ferrari,100.0,#A6051A,3rd,1,1,3,108
2005,Toyota,88.0,#8e0018,4th,0,2,1,16
2005,Williams,66.0,#005AFF,5th,0,1,0,1
2005,BAR,38.0,#d5d5d3,6th,0,1,0,9
2005,Red Bull,34.0,#121F45,7th,0,0,0,2
2005,Sauber,20.0,#9B0000,8th,0,0,0,0
2005,Jordan,12.0,#ead136,9th,0,0,0,0
2005,Minardi,7.0,black,10th,0,0,0,0
2006,Renault,206.0,#FFF500,1st,8,7,5,520
2006,Ferrari,201.0,#A6051A,2nd,9,7,9,520
2006,McLaren,110.0,#FF8000,3rd,0,3,3,60
2006,Honda,86.0,#cccfc8,4th,1,1,0,25
2006,BMW Sauber,36.0,#ffffff,5th,0,0,0,5
2006,Toyota,35.0,#8e0018,6th,0,0,0,4
2006,Red Bull,16.0,#121F45,7th,0,0,0,0
2006,Williams,11.0,#005AFF,8th,0,0,1,3
2006,Toro Rosso,1.0,#469BFF,9th,0,0,0,0
2006,MF1,0.0,white,10th,0,0,0,0
2006,Spyker MF1,0.0,white,11th,0,0,0,0
2006,Super Aguri,0.0,#b61211,12th,0,0,0,0
2007,McLaren,218.0,#FF8000,1st,8,8,5,524
2007,Ferrari,204.0,#A6051A,2nd,9,9,12,512
2007,BMW Sauber,101.0,#ffffff,3rd,0,0,0,4
2007,Renault,51.0,#FFF500,4th,0,0,0,10
2007,Williams,33.0,#005AFF,5th,0,0,0,0
2007,Red Bull,24.0,#121F45,6th,0,0,0,6
2007,Toyota,13.0,#8e0018,7th,0,0,0,0
2007,Toro Rosso,8.0,#469BFF,8th,0,0,0,3
2007,Honda,6.0,#cccfc8,9th,0,0,0,0
2007,Super Aguri,4.0,#b61211,10th,0,0,0,0
2007,Spyker,1.0,white,11th,0,0,0,6
2008,Ferrari,172.0,#A6051A,1st,8,8,13,542
2008,McLaren,151.0,#FF8000,2nd,6,8,3,324
2008,BMW Sauber,135.0,#ffffff,3rd,1,1,2,89
2008,Renault,80.0,#FFF500,4th,2,0,0,75
2008,Toyota,56.0,#8e0018,5th,0,0,0,16
2008,Toro Rosso,39.0,#469BFF,6th,1,1,0,52
2008,Red Bull,29.0,#121F45,7th,0,0,0,1
2008,Williams,26.0,#005AFF,8th,0,0,0,11
2008,Honda,14.0,#cccfc8,9th,0,0,0,7
2008,Force India,0.0,#F596C8,10th,0,0,0,0
2008,Super Aguri,0.0,#b61211,11th,0,0,0,0
2009,Brawn,172.0,#cccfc8,1st,8,5,4,405
2009,Red Bull,153.5,#121F45,2nd,6,5,6,302
2009,McLaren,71.0,#FF8000,3rd,2,4,0,184
2009,Ferrari,70.0,#A6051A,4th,1,0,1,53
2009,Toyota,59.5,#8e0018,5th,0,1,2,13
2009,BMW Sauber,36.0,#ffffff,6th,0,0,0,0
2009,Williams,34.5,#005AFF,7th,0,0,1,16
2009,Renault,26.0,#FFF500,8th,0,1,2,15
2009,Force India,13.0,#F596C8,9th,0,1,1,0
2009,Toro Rosso,8.0,#469BFF,10th,0,0,0,0
2010,Red Bull,498.0,#121F45,1st,9,15,6,699
2010,McLaren,454.0,#FF8000,2nd,5,1,6,245
2010,Ferrari,396.0,#A6051A,3rd,5,2,5,168
